"sample","Username","stimID","ID","group","groupEffectCoded","mediansplitCuriosityWithinSubject","trialMain","itemMain","responseAnswer","rtAnswer","rtCuriosity","responseCuriosity","curiosityGroupMeanCentered","curiosity_dich","rewardByCuriosity","blockMain","trialRecall","itemRecall","responseRecall","cuedRecallStrict","cuedRecallLenient","Flagging","Comments","trialRecognition","itemRecognition","responseRecognition","rtRecognition","responseConfidence","rtConfidence","confidenceGroupMeanCentered","recognition","responseConfidenceCorrectTrials","responseConfidenceIncorrectTrials","confidenceGroupMeanCenteredCorrectTrials","recognitionAboveMeanConf","recognitionConfLevel_1","recognitionConfLevel_above_1","recognitionConfLevel_1_2","recognitionConfLevel_1_2_3","recognitionConfLevel_2","recognitionConfLevel_above_2","recognitionConfLevel_3","recognitionConfLevel_above_3","recognitionConfLevel_3_4","recognitionConfLevel_4","recognitionConfLevel_above_4","recognitionConfLevel_4_5_6","recognitionConfLevel_5","recognitionConfLevel_above_5","recognitionConfLevel_5_6","recognitionConfLevel_6","rememberedStrictAboveAvg","rememberedLenientAboveAvg","rememberedStrictHigh","rememberedLenientHigh","curBen_cont_cuedRecallStrict","curBen_dich_cuedRecallStrict","curBen_cont_cuedRecallLenient","curBen_dich_cuedRecallLenient","curBen_cont_allConf","curBen_dich_allConf","curBen_cont_highConf","curBen_dich_highConf","curBen_cont_aboveAvgConf","curBen_dich_aboveAvgConf","curBen_cont_rememberedStrictAboveAvg","curBen_dich_rememberedStrictAboveAvg","curBen_cont_rememberedLenientAboveAvg","curBen_dich_rememberedLenientAboveAvg","curBen_cont_rememberedStrictHigh","curBen_dich_rememberedStrictHigh","curBen_cont_rememberedLenientHigh","curBen_dich_rememberedLenientHigh"
"pilot","5396d1c1fdf99b1cf6eb7484","H10","exp27","exp",1,"above",1,2,"0",3.175,3.156,4,0.722222222222222,1,0.722222222222222,1,17,2,"he moved his hand from the top left quarter to bottom left to bottom right to top right and each time a quarter joined itself to the previous quarter so that  by the end all 4 quarters were joined into 1 whole card",1,1,NA,"",30,2,"Magician magically repairs split card.",62330,5,2879,2.11111111111111,1,5,NA,2.11111111111111,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1
"pilot","5396d1c1fdf99b1cf6eb7484","H15","exp27","exp",1,"median",27,3,"0",139.77,2.598,3,-0.277777777777778,-1,-0.277777777777778,3,3,3,"no recall",0,0,NA,"",29,3,"The magician pierces the deck of cards with a toothpick; but afterwards there is no hole.",9570,2,2998,-0.888888888888889,0,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","5396d1c1fdf99b1cf6eb7484","H16","exp27","exp",1,"median",33,4,"0",4.229,4.101,3,-0.277777777777778,-1,-0.277777777777778,3,29,4,"no recall",0,0,NA,"",12,4,"Magician is able to remove the dents from the can without touching it.",171093,2,3336,-0.888888888888889,0,NA,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","5396d1c1fdf99b1cf6eb7484","H17","exp27","exp",1,"above",30,5,"2",6.298,3.292,4,0.722222222222222,1,0.722222222222222,3,9,5,"no recall",0,0,NA,"",2,5,"The magician uses a guillotine to slice breadsticks; but not the volunteer's finger.",12136,5,2432,2.11111111111111,1,5,NA,2.11111111111111,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1,0.722222222222222,1
"pilot","5396d1c1fdf99b1cf6eb7484","H19","exp27","exp",1,"above",6,6,"3",4.254,3.467,4,0.722222222222222,1,0.722222222222222,1,16,6,"no recall",0,0,NA,"",36,6,"The magician places paper in volunteer's hand and sets it alight; revealing a red sponge ball.",7284,2,2404,-0.888888888888889,1,2,NA,-0.888888888888889,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722222222222222,1,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","5396d1c1fdf99b1cf6eb7484","H35","exp27","exp",1,"median",18,7,"0",5.194,2.892,3,-0.277777777777778,-1,-0.277777777777778,2,30,7,"no recall",0,0,NA,"",33,7,"The volunteer signs a card that is placed into the Ziploc bag; but then appears in the card box.",8048,1,2545,-1.88888888888889,0,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","5396d1c1fdf99b1cf6eb7484","H36","exp27","exp",1,"median",37,8,"0",4.046,7.684,3,-0.277777777777778,-1,-0.277777777777778,3,5,8,"no recall sorry!",0,0,NA,"",25,8,"The magician shrinks the bolt; so that the nut does not stay on it any longer.",7950,1,3774,-1.88888888888889,0,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","5396d1c1fdf99b1cf6eb7484","H37","exp27","exp",1,"below",32,9,"0",5.666,9.01,2,-1.27777777777778,-1,-1.27777777777778,3,20,9,"no recall",0,0,NA,"",31,9,"The magician unscrews his own finger and then shakes it back into place.",7968,2,2514,-0.888888888888889,1,2,NA,-0.888888888888889,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.27777777777778,-1,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","5396d1c1fdf99b1cf6eb7484","H7","exp27","exp",1,"above",16,1,"0",3.116,4.997,5,1.72222222222222,1,1.72222222222222,2,14,1,"no recall",0,0,NA,"",7,1,"The magician wraps the salt shaker in the cloth and makes it disappear.",11152,1,2798,-1.88888888888889,0,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pilot","5396d1c1fdf99b1cf6eb7484","K10","exp27","exp",1,"below",25,13,"0",8.871,2.792,2,-1.27777777777778,-1,-1.27777777777778,3,4,13,"no recall",0,0,NA,"",15,13,"The safety pins magically interlock without breaking the seal.",142233,2,2488,-0.888888888888889,1,2,NA,-0.888888888888889,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.27777777777778,-1,0,0,0,0,0,0,0,0,0,0,0,0
